appointment_id,customer_id,staff_name,service_id,week_start,appointment_start,appointment_end,booking_created_at,status,cancelled_at,completed_at,booked_duration_minutes,quoted_service_amount_aud,service_revenue_aud,discount_amount_aud,booking_channel,is_new_customer_at_booking
A00001,C0002,Sam,SV02,16/3/2026,2026-03-17T13:00:00,2026-03-17T13:45:00,2026-02-15T08:00:00,completed,,2026-03-17T13:45:00,45,60,60,0,In salon,FALSE
A00002,C0006,Matthew,SV02,16/3/2026,2026-03-17T09:00:00,2026-03-17T09:45:00,2026-03-02T08:00:00,completed,,2026-03-17T09:45:00,45,60,60,0,Phone,FALSE
A00003,C0004,Sam,SV04,16/3/2026,2026-03-17T13:45:00,2026-03-17T15:45:00,2026-02-11T10:45:00,completed,,2026-03-17T15:45:00,120,240,240,0,Online,FALSE
A00004,C0001,Sarah,SV01,16/3/2026,2026-03-17T09:00:00,2026-03-17T09:30:00,2026-03-01T08:00:00,completed,,2026-03-17T09:30:00,30,40,40,0,Phone,FALSE
A00005,C0005,Sarah,SV01,16/3/2026,2026-03-17T12:00:00,2026-03-17T12:30:00,2026-02-19T06:00:00,completed,,2026-03-17T12:30:00,30,40,40,0,Phone,FALSE
A00006,C0181,Sarah,SV06,16/3/2026,2026-03-20T12:00:00,2026-03-20T15:00:00,2026-03-10T04:00:00,completed,,2026-03-20T15:00:00,180,390,390,0,Phone,TRUE
A00007,C0090,Matthew,SV06,16/3/2026,2026-03-20T09:00:00,2026-03-20T12:00:00,2026-02-24T01:00:00,completed,,2026-03-20T12:00:00,180,390,390,0,In salon,FALSE
A00008,C0009,Sarah,SV01,16/3/2026,2026-03-18T13:00:00,2026-03-18T13:30:00,2026-02-26T05:00:00,completed,,2026-03-18T13:30:00,30,40,40,0,Online,FALSE
A00009,C0003,Sarah,SV03,16/3/2026,2026-03-17T16:00:00,2026-03-17T17:00:00,2026-03-02T14:00:00,completed,,2026-03-17T17:00:00,60,100,100,0,Phone,FALSE
A00010,C0007,Sam,SV03,16/3/2026,2026-03-17T09:15:00,2026-03-17T10:15:00,2026-02-16T03:15:00,completed,,2026-03-17T10:15:00,60,100,100,0,Phone,FALSE
A00011,C0013,Sam,SV01,16/3/2026,2026-03-18T11:30:00,2026-03-18T12:00:00,2026-02-27T08:30:00,completed,,2026-03-18T12:00:00,30,40,40,0,In salon,FALSE
A00012,C0182,Matthew,SV05,16/3/2026,2026-03-16T14:30:00,2026-03-16T17:00:00,2026-02-19T06:30:00,completed,,2026-03-16T17:00:00,150,325,325,0,In salon,TRUE
A00013,C0017,Matthew,SV01,16/3/2026,2026-03-20T14:30:00,2026-03-20T15:00:00,2026-02-25T10:30:00,completed,,2026-03-20T15:00:00,30,40,40,0,Phone,FALSE
A00014,C0021,Sam,SV01,16/3/2026,2026-03-18T11:00:00,2026-03-18T11:30:00,2026-02-27T03:00:00,completed,,2026-03-18T11:30:00,30,40,40,0,Online,FALSE
A00015,C0183,Sam,SV01,16/3/2026,2026-03-18T14:00:00,2026-03-18T14:30:00,2026-02-25T07:00:00,completed,,2026-03-18T14:30:00,30,40,40,0,Phone,TRUE
A00016,C0184,Matthew,SV01,16/3/2026,2026-03-17T14:30:00,2026-03-17T15:00:00,2026-03-09T11:30:00,completed,,2026-03-17T15:00:00,30,40,40,0,In salon,TRUE
A00017,C0008,Sarah,SV04,16/3/2026,2026-03-16T11:30:00,2026-03-16T13:30:00,2026-02-23T03:30:00,completed,,2026-03-16T13:30:00,120,240,240,0,Online,FALSE
A00018,C0185,Matthew,SV01,16/3/2026,2026-03-18T12:30:00,2026-03-18T13:00:00,2026-03-04T07:30:00,completed,,2026-03-18T13:00:00,30,40,40,0,Phone,TRUE
A00019,C0151,Sam,SV01,16/3/2026,2026-03-18T12:00:00,2026-03-18T12:30:00,2026-03-09T12:00:00,completed,,2026-03-18T12:30:00,30,40,40,0,In salon,FALSE
A00020,C0186,Sarah,SV01,16/3/2026,2026-03-18T13:30:00,2026-03-18T14:00:00,2026-03-10T10:30:00,completed,,2026-03-18T14:00:00,30,40,40,0,Phone,TRUE
