followup_id,customer_id,contacted_at,channel,reason,outcome,next_action_date,resulting_appointment_id
F0001,C0007,2026-09-09T11:00:00,Phone,Service due,Customer will call back,16/9/2026,
F0002,C0008,2026-09-11T11:00:00,Phone,Service due,No answer,16/9/2026,
F0003,C0009,2026-09-09T11:00:00,Phone,Service due,No answer,16/9/2026,
F0004,C0010,2026-09-08T11:00:00,Phone,Service due,Customer will call back,16/9/2026,
F0005,C0011,2026-09-10T11:00:00,Phone,Service due,Customer will call back,16/9/2026,
F0006,C0012,2026-09-08T11:00:00,Phone,Service due,No answer,16/9/2026,
F0007,C0364,2026-07-01T04:45:00,SMS,Service due,Booked,,A01292
F0008,C0084,2026-06-18T06:00:00,Phone,Service due,Booked,,A01157
F0009,C0092,2026-08-05T07:45:00,Phone,Service due,Booked,,A01549
F0010,C0382,2026-07-14T07:15:00,Phone,Service due,Booked,,A01297
F0011,C0222,2026-08-11T11:00:00,Phone,Service due,Booked,,A01705
F0012,C0494,2026-08-21T07:15:00,SMS,Service due,Booked,,A01805
F0013,C0061,2026-08-05T08:30:00,Phone,Service due,Booked,,A01627
F0014,C0046,2026-06-12T03:30:00,SMS,Service due,Booked,,A01169
F0015,C0033,2026-08-11T01:15:00,Phone,Service due,Booked,,A01517
F0016,C0160,2026-07-11T11:30:00,SMS,Service due,Booked,,A01431
F0017,C0347,2026-08-09T07:00:00,SMS,Service due,Booked,,A01721
F0018,C0163,2026-07-31T11:30:00,SMS,Service due,Booked,,A01450
F0019,C0492,2026-08-18T04:00:00,SMS,Service due,Booked,,A01700
F0020,C0102,2026-06-27T09:45:00,Phone,Service due,Booked,,A01096
F0021,C0459,2026-07-22T10:30:00,Phone,Service due,Booked,,A01610
F0022,C0067,2026-08-14T06:30:00,SMS,Service due,Booked,,A01723
F0023,C0113,2026-07-27T09:00:00,SMS,Service due,Booked,,A01523
F0024,C0348,2026-08-17T12:00:00,Phone,Service due,Booked,,A01830
F0025,C0134,2026-07-27T08:00:00,Phone,Service due,Booked,,A01383
F0026,C0452,2026-07-30T06:30:00,SMS,Service due,Booked,,A01604
F0027,C0054,2026-08-14T03:30:00,Phone,Service due,Booked,,A01744
F0028,C0227,2026-08-02T05:15:00,Phone,Service due,Booked,,A01506
F0029,C0461,2026-08-16T06:30:00,Phone,Service due,Booked,,A01743
F0030,C0250,2026-08-04T11:45:00,Phone,Service due,Booked,,A01770
F0031,C0351,2026-08-24T08:30:00,SMS,Service due,Booked,,A01824
F0032,C0435,2026-07-18T06:30:00,Phone,Service due,Booked,,A01468
F0033,C0044,2026-08-26T10:15:00,SMS,Service due,Booked,,A01748
F0034,C0186,2026-09-02T05:00:00,SMS,Service due,Booked,,A01825
F0035,C0434,2026-07-31T00:00:00,Phone,Service due,Booked,,A01690
F0036,C0472,2026-08-11T03:00:00,SMS,Service due,Booked,,A01800
F0037,C0100,2026-06-29T15:30:00,Phone,Service due,Booked,,A01131
F0038,C0128,2026-07-10T07:00:00,SMS,Service due,Booked,,A01290
F0039,C0378,2026-06-26T07:00:00,SMS,Service due,Booked,,A01256
F0040,C0377,2026-06-17T10:30:00,Phone,Service due,Booked,,A01190
F0041,C0025,2026-08-05T08:00:00,Phone,Service due,Booked,,A01701
F0042,C0258,2026-07-05T07:30:00,Phone,Service due,Booked,,A01286
F0043,C0471,2026-08-07T04:00:00,SMS,Service due,Booked,,A01708
