retail_sale_id,appointment_id,customer_id,staff_name,sold_at,product_name,quantity,unit_price_aud,retail_revenue_aud
R00001,A00056,C0071,Sarah,2026-03-20T12:00:00,Colour-care shampoo,1,35,35
R00002,A00017,C0008,Sarah,2026-03-16T13:30:00,Colour-care shampoo,1,35,35
R00003,A00038,C0024,Sarah,2026-03-16T11:30:00,Colour-care shampoo,1,35,35
R00004,A00061,C0198,Sarah,2026-03-17T11:30:00,Colour-care shampoo,1,35,35
R00005,A00065,C0200,Matthew,2026-03-17T17:00:00,Colour-care shampoo,1,35,35
R00006,A00012,C0182,Matthew,2026-03-16T17:00:00,Colour-care shampoo,1,35,35
R00007,A00043,C0191,Matthew,2026-03-20T14:30:00,Colour-care shampoo,1,35,35
R00008,A00048,C0136,Matthew,2026-03-16T13:30:00,Colour-care shampoo,1,35,35
R00009,A00039,C0190,Sam,2026-03-20T15:00:00,Colour-care shampoo,1,35,35
R00010,A00057,C0197,Sam,2026-03-16T15:00:00,Colour-care shampoo,1,35,35
R00011,A00003,C0004,Sam,2026-03-17T15:45:00,Colour-care shampoo,1,35,35
R00012,A00063,C0082,Sam,2026-03-16T17:00:00,Colour-care shampoo,1,35,35
R00013,A00023,C0134,Sam,2026-03-20T12:00:00,Colour-care shampoo,1,35,35
R00014,A00115,C0081,Sarah,2026-03-23T17:00:00,Colour-care shampoo,1,35,35
R00015,A00121,C0166,Sarah,2026-03-27T12:00:00,Colour-care shampoo,1,35,35
R00016,A00075,C0048,Sarah,2026-03-23T15:00:00,Colour-care shampoo,1,35,35
R00017,A00105,C0039,Matthew,2026-03-23T11:00:00,Colour-care shampoo,1,35,35
R00018,A00101,C0165,Matthew,2026-03-23T17:00:00,Colour-care shampoo,1,35,35
R00019,A00100,C0052,Matthew,2026-03-24T14:00:00,Colour-care shampoo,1,35,35
R00020,A00113,C0026,Matthew,2026-03-27T14:30:00,Colour-care shampoo,1,35,35
R00021,A00136,C0064,Matthew,2026-03-23T13:30:00,Colour-care shampoo,1,35,35
R00022,A00110,C0147,Sam,2026-03-27T11:30:00,Colour-care shampoo,1,35,35
R00023,A00119,C0214,Sam,2026-03-23T15:00:00,Colour-care shampoo,1,35,35
R00024,A00109,C0031,Sam,2026-03-24T15:30:00,Colour-care shampoo,1,35,35
R00025,A00083,C0077,Sam,2026-03-24T12:45:00,Colour-care shampoo,1,35,35
R00026,A00158,C0226,Sarah,2026-03-30T11:30:00,Colour-care shampoo,1,35,35
R00027,A00185,C0041,Sarah,2026-03-30T14:30:00,Colour-care shampoo,1,35,35
R00028,A00141,C0125,Sarah,2026-04-03T15:00:00,Colour-care shampoo,1,35,35
R00029,A00174,C0083,Sarah,2026-03-31T11:00:00,Colour-care shampoo,1,35,35
R00030,A00161,C0093,Matthew,2026-03-31T11:00:00,Colour-care shampoo,1,35,35
R00031,A00166,C0091,Matthew,2026-03-30T11:30:00,Colour-care shampoo,1,35,35
R00032,A00196,C0238,Matthew,2026-03-31T13:00:00,Colour-care shampoo,1,35,35
R00033,A00155,C0057,Sam,2026-04-03T12:00:00,Colour-care shampoo,1,35,35
R00034,A00205,C0113,Sam,2026-03-30T13:30:00,Colour-care shampoo,1,35,35
R00035,A00175,C0072,Sam,2026-04-03T15:00:00,Colour-care shampoo,1,35,35
R00036,A00169,C0126,Sam,2026-03-30T16:00:00,Colour-care shampoo,1,35,35
R00037,A00251,C0074,Sarah,2026-04-10T14:30:00,Colour-care shampoo,1,35,35
R00038,A00250,C0107,Sarah,2026-04-06T17:00:00,Colour-care shampoo,1,35,35
R00039,A00240,C0080,Sarah,2026-04-06T15:00:00,Colour-care shampoo,1,35,35
R00040,A00215,C0078,Matthew,2026-04-06T11:00:00,Colour-care shampoo,1,35,35
R00041,A00243,C0084,Matthew,2026-04-10T15:00:00,Colour-care shampoo,1,35,35
R00042,A00237,C0058,Matthew,2026-04-06T17:00:00,Colour-care shampoo,1,35,35
R00043,A00224,C0066,Matthew,2026-04-06T15:00:00,Colour-care shampoo,1,35,35
R00044,A00227,C0246,Sam,2026-04-10T12:00:00,Colour-care shampoo,1,35,35
R00045,A00263,C0049,Sam,2026-04-06T17:00:00,Colour-care shampoo,1,35,35
R00046,A00222,C0137,Sam,2026-04-07T15:45:00,Colour-care shampoo,1,35,35
R00047,A00247,C0253,Sam,2026-04-10T14:30:00,Colour-care shampoo,1,35,35
R00048,A00309,C0131,Sarah,2026-04-13T17:00:00,Colour-care shampoo,1,35,35
R00049,A00277,C0262,Sarah,2026-04-17T12:00:00,Colour-care shampoo,1,35,35
R00050,A00328,C0275,Sarah,2026-04-13T13:00:00,Colour-care shampoo,1,35,35
R00051,A00310,C0051,Sarah,2026-04-13T11:00:00,Colour-care shampoo,1,35,35
R00052,A00311,C0130,Sarah,2026-04-13T15:00:00,Colour-care shampoo,1,35,35
R00053,A00294,C0203,Matthew,2026-04-17T15:00:00,Colour-care shampoo,1,35,35
R00054,A00312,C0270,Matthew,2026-04-13T17:00:00,Colour-care shampoo,1,35,35
R00055,A00283,C0142,Matthew,2026-04-14T14:15:00,Colour-care shampoo,1,35,35
R00056,A00326,C0053,Matthew,2026-04-13T13:00:00,Colour-care shampoo,1,35,35
R00057,A00308,C0191,Sam,2026-04-13T17:00:00,Colour-care shampoo,1,35,35
R00058,A00290,C0198,Sam,2026-04-17T12:00:00,Colour-care shampoo,1,35,35
R00059,A00322,C0216,Sam,2026-04-14T13:00:00,Colour-care shampoo,1,35,35
R00060,A00323,C0050,Sam,2026-04-17T15:00:00,Colour-care shampoo,1,35,35
R00061,A00368,C0128,Sarah,2026-04-20T11:30:00,Colour-care shampoo,1,35,35
R00062,A00395,C0297,Sarah,2026-04-24T11:30:00,Colour-care shampoo,1,35,35
R00063,A00364,C0209,Sarah,2026-04-20T13:30:00,Colour-care shampoo,1,35,35
R00064,A00389,C0293,Matthew,2026-04-24T12:00:00,Colour-care shampoo,1,35,35
R00065,A00347,C0060,Matthew,2026-04-24T14:30:00,Colour-care shampoo,1,35,35
R00066,A00383,C0091,Matthew,2026-04-21T14:15:00,Colour-care shampoo,1,35,35
