week_start,comparison_cutoff,capacity_hours,booked_appointments_at_cutoff,new_customer_appointments_at_cutoff,returning_customer_appointments_at_cutoff,new_customer_hours_at_cutoff,returning_customer_hours_at_cutoff,booked_hours_at_cutoff,booking_utilisation_at_cutoff,completed_service_hours,service_revenue_aud,service_revenue_per_completed_hour_aud,period_role
16/3/2026,2026-03-15T23:59:59,114,65,20,45,23.25,52.5,75.75,0.664473684,75.75,8410,111.0231,history
23/3/2026,2026-03-22T23:59:59,114,70,21,49,20.75,59,79.75,0.699561404,79.75,8740,109.5925,history
30/3/2026,2026-03-29T23:59:59,114,67,20,47,17.75,63.75,81.5,0.714912281,81.5,9115,111.8405,history
6/4/2026,2026-04-05T23:59:59,114,59,18,41,21.75,45.25,67,0.587719298,67,7320,109.2537,history
13/4/2026,2026-04-12T23:59:59,114,69,21,48,26.25,50.25,76.5,0.671052632,76.5,8280,108.2353,history
20/4/2026,2026-04-19T23:59:59,114,68,20,48,20.5,52,72.5,0.635964912,72.5,7800,107.5862,history
27/4/2026,2026-04-26T23:59:59,114,72,22,50,31,55.5,86.5,0.75877193,86.5,9630,111.3295,history
4/5/2026,2026-05-03T23:59:59,114,63,19,44,27.75,48,75.75,0.664473684,75.75,8415,111.0891,history
11/5/2026,2026-05-10T23:59:59,114,63,19,44,18.75,51.5,70.25,0.61622807,70.25,7685,109.395,history
18/5/2026,2026-05-17T23:59:59,114,61,18,43,18,50.5,68.5,0.600877193,68.5,7500,109.4891,history
25/5/2026,2026-05-24T23:59:59,114,67,20,47,21.5,55,76.5,0.671052632,76.5,8355,109.2157,history
1/6/2026,2026-05-31T23:59:59,114,65,20,45,21.25,53.5,74.75,0.655701754,74.75,8150,109.0301,history
8/6/2026,2026-06-07T23:59:59,114,62,19,43,28.5,53,81.5,0.714912281,81.5,9295,114.0491,history
15/6/2026,2026-06-14T23:59:59,114,70,21,49,27.5,55.25,82.75,0.725877193,82.75,9165,110.7553,history
22/6/2026,2026-06-21T23:59:59,114,63,19,44,26.5,49.25,75.75,0.664473684,75.75,8415,111.0891,history
29/6/2026,2026-06-28T23:59:59,114,53,16,37,18.5,47.25,65.75,0.576754386,65.75,7395,112.4715,history
6/7/2026,2026-07-05T23:59:59,114,56,17,39,22,48,70,0.614035088,70,7880,112.5714,history
13/7/2026,2026-07-12T23:59:59,114,65,20,45,24,55.75,79.75,0.699561404,79.75,8905,111.6614,history
20/7/2026,2026-07-19T23:59:59,114,66,20,46,24.75,53.75,78.5,0.688596491,78.5,8670,110.4459,history
27/7/2026,2026-07-26T23:59:59,114,62,19,43,20,53.75,73.75,0.646929825,73.75,8140,110.3729,history
3/8/2026,2026-08-02T23:59:59,114,66,20,46,22.75,50.25,73,0.640350877,73,7890,108.0822,history
10/8/2026,2026-08-09T23:59:59,114,78,23,55,26,64,90,0.789473684,90,10000,111.1111,baseline
17/8/2026,2026-08-16T23:59:59,114,82,25,57,28,64.5,92.5,0.811403509,92.5,10225,110.5405,baseline
24/8/2026,2026-08-23T23:59:59,114,79,24,55,27,63.5,90.5,0.793859649,90.5,10040,110.9392,baseline
31/8/2026,2026-08-30T23:59:59,114,81,24,57,27,65,92,0.807017544,92,10185,110.7065,baseline
7/9/2026,2026-09-06T23:59:59,114,112,34,78,28,63.25,91.25,0.800438596,91.25,9125,100,this_week
14/9/2026,2026-09-13T23:59:59,114,50,24,26,27,30,57,0.5,0,0,,next_week
