business_id,enquiry_id,customer_id,received_at,source,service_id
B001,ENQ000,C0001,2026-07-01T08:00:00+10:00,phone,SV02
B001,ENQ001,C0002,2026-07-03T08:00:00+10:00,phone,SV02
B001,ENQ002,C0003,2026-07-05T08:00:00+10:00,phone,SV02
B001,ENQ003,C0004,2026-07-07T08:00:00+10:00,phone,SV02
B001,ENQ004,C0005,2026-07-09T08:00:00+10:00,phone,SV02
B001,ENQ005,C0006,2026-07-11T08:00:00+10:00,phone,SV02
B001,ENQ006,C0007,2026-07-13T08:00:00+10:00,phone,SV02
B001,ENQ007,C0008,2026-07-15T08:00:00+10:00,phone,SV02
B001,ENQ008,C0009,2026-07-17T08:00:00+10:00,phone,SV02
B001,ENQ009,C0010,2026-07-19T08:00:00+10:00,phone,SV02
B001,ENQ010,C0011,2026-07-21T08:00:00+10:00,phone,SV02
B001,ENQ011,C0012,2026-07-23T08:00:00+10:00,phone,SV02
B001,ENQ012,C0013,2026-07-25T08:00:00+10:00,phone,SV02
B001,ENQ013,C0014,2026-07-27T08:00:00+10:00,phone,SV02
B001,ENQ014,C0015,2026-07-29T08:00:00+10:00,phone,SV02
B001,ENQ015,C0016,2026-07-31T08:00:00+10:00,phone,SV02
B001,ENQ016,C0017,2026-08-02T08:00:00+10:00,phone,SV02
B001,ENQ017,C0018,2026-08-04T08:00:00+10:00,phone,SV02
B001,ENQ018,C0019,2026-08-06T08:00:00+10:00,phone,SV02
B001,ENQ019,C0020,2026-08-08T08:00:00+10:00,phone,SV02
B001,ENQ020,C0021,2026-08-10T08:00:00+10:00,phone,SV02
B001,ENQ021,C0022,2026-08-12T08:00:00+10:00,phone,SV02
B001,ENQ022,C0023,2026-08-14T08:00:00+10:00,phone,SV02
B001,ENQ023,C0024,2026-08-16T08:00:00+10:00,phone,SV02
B001,ENQ024,C0025,2026-08-18T08:00:00+10:00,phone,SV02
B001,ENQ025,C0026,2026-08-20T08:00:00+10:00,phone,SV02
B001,ENQ026,C0027,2026-08-22T08:00:00+10:00,phone,SV02
B001,ENQ027,C0028,2026-08-24T08:00:00+10:00,phone,SV02
B001,ENQ028,C0029,2026-08-26T08:00:00+10:00,phone,SV02
B001,ENQ029,C0030,2026-08-28T08:00:00+10:00,phone,SV02
B001,ENQ030,C0031,2026-08-30T08:00:00+10:00,phone,SV02
B001,ENQ031,C0032,2026-09-01T08:00:00+10:00,phone,SV02
B001,ENQ032,C0033,2026-09-03T08:00:00+10:00,phone,SV02
B001,ENQ033,C0034,2026-09-05T08:00:00+10:00,phone,SV02
B001,ENQ034,C0035,2026-09-07T08:00:00+10:00,phone,SV02
B001,ENQ035,C0036,2026-09-09T08:00:00+10:00,phone,SV02
