business_id,payment_id,invoice_id,paid_on,amount
B001,PAYINV-C0001-0,INV-C0001-0,2026-01-16,1000
B001,PAYINV-C0001-1,INV-C0001-1,2026-02-15,1000
B001,PAYINV-C0001-2,INV-C0001-2,2026-03-17,1000
B001,PAYINV-C0001-3,INV-C0001-3,2026-04-16,1000
B001,PAYINV-C0001-4,INV-C0001-4,2026-05-16,1000
B001,PAYINV-C0001-5,INV-C0001-5,2026-06-15,1000
B001,PAYINV-C0002-0,INV-C0002-0,2026-01-31,1000
B001,PAYINV-C0002-1,INV-C0002-1,2026-03-02,1000
B001,PAYINV-C0002-2,INV-C0002-2,2026-04-01,1000
B001,PAYINV-C0002-3,INV-C0002-3,2026-05-01,1000
B001,PAYINV-C0002-4,INV-C0002-4,2026-05-31,1000
B001,PAYINV-C0002-5,INV-C0002-5,2026-06-30,1000
B001,PAYINV-C0003-0,INV-C0003-0,2026-01-19,1000
B001,PAYINV-C0003-1,INV-C0003-1,2026-02-18,1000
B001,PAYINV-C0003-2,INV-C0003-2,2026-03-20,1000
B001,PAYINV-C0003-3,INV-C0003-3,2026-04-19,1000
B001,PAYINV-C0003-4,INV-C0003-4,2026-05-19,1000
B001,PAYINV-C0003-5,INV-C0003-5,2026-06-18,1000
B001,PARTC0001,OPEN-C0001,2026-09-01,1000
B001,PARTC0003,OPEN-C0003,2026-09-01,200
