business_id,quote_version_id,quote_id,version,created_at,amount_ex_gst
B001,Q000-1,Q000,1,2026-07-01T10:00:00+10:00,200
B001,Q000-2,Q000,2,2026-07-02T10:00:00+10:00,180
B001,Q001-1,Q001,1,2026-07-03T10:00:00+10:00,200
B001,Q001-2,Q001,2,2026-07-04T10:00:00+10:00,190
B001,Q002-1,Q002,1,2026-07-05T10:00:00+10:00,200
B001,Q002-2,Q002,2,2026-07-06T10:00:00+10:00,200
B001,Q003-1,Q003,1,2026-07-07T10:00:00+10:00,200
B001,Q003-2,Q003,2,2026-07-08T10:00:00+10:00,180
B001,Q004-1,Q004,1,2026-07-09T10:00:00+10:00,200
B001,Q004-2,Q004,2,2026-07-10T10:00:00+10:00,190
B001,Q005-1,Q005,1,2026-07-11T10:00:00+10:00,200
B001,Q005-2,Q005,2,2026-07-12T10:00:00+10:00,200
B001,Q006-1,Q006,1,2026-07-13T10:00:00+10:00,200
B001,Q006-2,Q006,2,2026-07-14T10:00:00+10:00,180
B001,Q007-1,Q007,1,2026-07-15T10:00:00+10:00,200
B001,Q007-2,Q007,2,2026-07-16T10:00:00+10:00,190
B001,Q008-1,Q008,1,2026-07-17T10:00:00+10:00,200
B001,Q008-2,Q008,2,2026-07-18T10:00:00+10:00,200
B001,Q009-1,Q009,1,2026-07-19T10:00:00+10:00,200
B001,Q009-2,Q009,2,2026-07-20T10:00:00+10:00,180
B001,Q010-1,Q010,1,2026-07-21T10:00:00+10:00,200
B001,Q010-2,Q010,2,2026-07-22T10:00:00+10:00,190
B001,Q011-1,Q011,1,2026-07-23T10:00:00+10:00,200
B001,Q011-2,Q011,2,2026-07-24T10:00:00+10:00,200
B001,Q012-1,Q012,1,2026-07-25T10:00:00+10:00,200
B001,Q012-2,Q012,2,2026-07-26T10:00:00+10:00,180
B001,Q013-1,Q013,1,2026-07-27T10:00:00+10:00,200
B001,Q013-2,Q013,2,2026-07-28T10:00:00+10:00,190
B001,Q014-1,Q014,1,2026-07-29T10:00:00+10:00,200
B001,Q014-2,Q014,2,2026-07-30T10:00:00+10:00,200
B001,Q015-1,Q015,1,2026-07-31T10:00:00+10:00,200
B001,Q015-2,Q015,2,2026-08-01T10:00:00+10:00,180
B001,Q016-1,Q016,1,2026-08-02T10:00:00+10:00,200
B001,Q016-2,Q016,2,2026-08-03T10:00:00+10:00,190
B001,Q017-1,Q017,1,2026-08-04T10:00:00+10:00,200
B001,Q017-2,Q017,2,2026-08-05T10:00:00+10:00,200
B001,Q018-1,Q018,1,2026-08-06T10:00:00+10:00,200
B001,Q018-2,Q018,2,2026-08-07T10:00:00+10:00,180
B001,Q019-1,Q019,1,2026-08-08T10:00:00+10:00,200
B001,Q019-2,Q019,2,2026-08-09T10:00:00+10:00,190
B001,Q020-1,Q020,1,2026-08-10T10:00:00+10:00,200
B001,Q020-2,Q020,2,2026-08-11T10:00:00+10:00,200
B001,Q021-1,Q021,1,2026-08-12T10:00:00+10:00,200
B001,Q021-2,Q021,2,2026-08-13T10:00:00+10:00,180
B001,Q022-1,Q022,1,2026-08-14T10:00:00+10:00,200
B001,Q022-2,Q022,2,2026-08-15T10:00:00+10:00,190
B001,Q023-1,Q023,1,2026-08-16T10:00:00+10:00,200
B001,Q023-2,Q023,2,2026-08-17T10:00:00+10:00,200
B001,Q024-1,Q024,1,2026-08-18T10:00:00+10:00,200
B001,Q024-2,Q024,2,2026-08-19T10:00:00+10:00,180
B001,Q025-1,Q025,1,2026-08-20T10:00:00+10:00,200
B001,Q025-2,Q025,2,2026-08-21T10:00:00+10:00,190
B001,Q026-1,Q026,1,2026-08-22T10:00:00+10:00,200
B001,Q026-2,Q026,2,2026-08-23T10:00:00+10:00,200
B001,Q027-1,Q027,1,2026-08-24T10:00:00+10:00,200
B001,Q027-2,Q027,2,2026-08-25T10:00:00+10:00,180
B001,Q028-1,Q028,1,2026-08-26T10:00:00+10:00,200
B001,Q028-2,Q028,2,2026-08-27T10:00:00+10:00,190
B001,Q029-1,Q029,1,2026-08-28T10:00:00+10:00,200
B001,Q029-2,Q029,2,2026-08-29T10:00:00+10:00,200
B001,Q030-1,Q030,1,2026-08-30T10:00:00+10:00,200
B001,Q030-2,Q030,2,2026-08-31T10:00:00+10:00,180
B001,Q031-1,Q031,1,2026-09-01T10:00:00+10:00,200
B001,Q031-2,Q031,2,2026-09-02T10:00:00+10:00,190
B001,Q032-1,Q032,1,2026-09-03T10:00:00+10:00,200
B001,Q032-2,Q032,2,2026-09-04T10:00:00+10:00,200
B001,Q033-1,Q033,1,2026-09-05T10:00:00+10:00,200
B001,Q033-2,Q033,2,2026-09-06T10:00:00+10:00,180
B001,Q034-1,Q034,1,2026-09-07T10:00:00+10:00,200
B001,Q034-2,Q034,2,2026-09-08T10:00:00+10:00,190
B001,Q035-1,Q035,1,2026-09-09T10:00:00+10:00,200
B001,Q035-2,Q035,2,2026-09-10T10:00:00+10:00,200
