business_id,quote_id,enquiry_id,customer_id,staff_id,service_id,issued_at,status,value_ex_gst,direct_cost,expires_on,source_followup_date,owner_followup_date,snoozed_until,no_more_followup,lost_reason,linked_transaction_id,closed_at
B001,Q000,ENQ000,C0001,S01,SV02,2026-07-01T10:00:00+10:00,Won,180,30,2026-08-15,2026-07-06,,,False,,T00001,2026-07-08T09:00:00+10:00
B001,Q001,ENQ001,C0002,S02,SV02,2026-07-03T10:00:00+10:00,Lost,190,30,2026-08-17,,,,False,timing unsuitable,,2026-07-10T09:00:00+10:00
B001,Q002,ENQ002,C0003,S03,SV02,2026-07-05T10:00:00+10:00,Open,200,30,2026-08-19,,,,False,,,
B001,Q003,ENQ003,C0004,S01,SV02,2026-07-07T10:00:00+10:00,Expired,180,30,2026-08-21,,,,False,,,2026-07-14T09:00:00+10:00
B001,Q004,ENQ004,C0005,S02,SV02,2026-07-09T10:00:00+10:00,Won,190,30,2026-08-23,,,,False,,,2026-07-16T09:00:00+10:00
B001,Q005,ENQ005,C0006,S03,SV02,2026-07-11T10:00:00+10:00,Lost,200,30,2026-08-25,2026-07-16,,,False,timing unsuitable,,2026-07-18T09:00:00+10:00
B001,Q006,ENQ006,C0007,S01,SV02,2026-07-13T10:00:00+10:00,Open,180,30,2026-08-27,,,,False,,,
B001,Q007,ENQ007,C0008,S02,SV02,2026-07-15T10:00:00+10:00,Expired,190,30,2026-08-29,,,,False,,,2026-07-22T09:00:00+10:00
B001,Q008,ENQ008,C0009,S03,SV02,2026-07-17T10:00:00+10:00,Won,200,30,2026-08-31,,,,False,,,2026-07-24T09:00:00+10:00
B001,Q009,ENQ009,C0010,S01,SV02,2026-07-19T10:00:00+10:00,Lost,180,30,2026-09-02,,,,False,timing unsuitable,,2026-07-26T09:00:00+10:00
B001,Q010,ENQ010,C0011,S02,SV02,2026-07-21T10:00:00+10:00,Open,190,30,2026-09-04,2026-07-26,,,False,,,
B001,Q011,ENQ011,C0012,S03,SV02,2026-07-23T10:00:00+10:00,Expired,200,30,2026-09-06,,,,False,,,2026-07-30T09:00:00+10:00
B001,Q012,ENQ012,C0013,S01,SV02,2026-07-25T10:00:00+10:00,Won,180,30,2026-09-08,,,,False,,,2026-08-01T09:00:00+10:00
B001,Q013,ENQ013,C0014,S02,SV02,2026-07-27T10:00:00+10:00,Lost,190,30,2026-09-10,,,,False,timing unsuitable,,2026-08-03T09:00:00+10:00
B001,Q014,ENQ014,C0015,S03,SV02,2026-07-29T10:00:00+10:00,Open,200,30,2026-09-12,,,,False,,,
B001,Q015,ENQ015,C0016,S01,SV02,2026-07-31T10:00:00+10:00,Expired,180,30,2026-09-14,2026-08-05,,,False,,,2026-08-07T09:00:00+10:00
B001,Q016,ENQ016,C0017,S02,SV02,2026-08-02T10:00:00+10:00,Won,190,30,2026-09-16,,,,False,,,2026-08-09T09:00:00+10:00
B001,Q017,ENQ017,C0018,S03,SV02,2026-08-04T10:00:00+10:00,Lost,200,30,2026-09-18,,,,False,timing unsuitable,,2026-08-11T09:00:00+10:00
B001,Q018,ENQ018,C0019,S01,SV02,2026-08-06T10:00:00+10:00,Open,180,30,2026-09-20,,,,False,,,
B001,Q019,ENQ019,C0020,S02,SV02,2026-08-08T10:00:00+10:00,Expired,190,30,2026-09-22,,,,False,,,2026-08-15T09:00:00+10:00
B001,Q020,ENQ020,C0021,S03,SV02,2026-08-10T10:00:00+10:00,Won,200,30,2026-09-24,2026-08-15,,,False,,,2026-08-17T09:00:00+10:00
B001,Q021,ENQ021,C0022,S01,SV02,2026-08-12T10:00:00+10:00,Lost,180,30,2026-09-26,,,,False,timing unsuitable,,2026-08-19T09:00:00+10:00
B001,Q022,ENQ022,C0023,S02,SV02,2026-08-14T10:00:00+10:00,Open,190,30,2026-09-28,,,,False,,,
B001,Q023,ENQ023,C0024,S03,SV02,2026-08-16T10:00:00+10:00,Expired,200,30,2026-09-30,,,,False,,,2026-08-23T09:00:00+10:00
B001,Q024,ENQ024,C0025,S01,SV02,2026-08-18T10:00:00+10:00,Won,180,30,2026-10-02,,,,False,,,2026-08-25T09:00:00+10:00
B001,Q025,ENQ025,C0026,S02,SV02,2026-08-20T10:00:00+10:00,Lost,190,30,2026-10-04,2026-08-25,,,False,timing unsuitable,,2026-08-27T09:00:00+10:00
B001,Q026,ENQ026,C0027,S03,SV02,2026-08-22T10:00:00+10:00,Open,200,30,2026-10-06,,,,False,,,
B001,Q027,ENQ027,C0028,S01,SV02,2026-08-24T10:00:00+10:00,Expired,180,30,2026-10-08,,,,False,,,2026-08-31T09:00:00+10:00
B001,Q028,ENQ028,C0029,S02,SV02,2026-08-26T10:00:00+10:00,Won,190,30,2026-10-10,,,,False,,,2026-09-02T09:00:00+10:00
B001,Q029,ENQ029,C0030,S03,SV02,2026-08-28T10:00:00+10:00,Lost,200,30,2026-10-12,,,,False,timing unsuitable,,2026-09-04T09:00:00+10:00
B001,Q030,ENQ030,C0031,S01,SV02,2026-08-30T10:00:00+10:00,Open,180,30,2026-10-14,2026-09-04,,,True,,,
B001,Q031,ENQ031,C0032,S02,SV02,2026-09-01T10:00:00+10:00,Expired,190,30,2026-10-16,,,,False,,,2026-09-08T09:00:00+10:00
B001,Q032,ENQ032,C0033,S03,SV02,2026-09-03T10:00:00+10:00,Won,200,30,2026-10-18,,,,False,,,2026-09-10T09:00:00+10:00
B001,Q033,ENQ033,C0034,S01,SV02,2026-09-05T10:00:00+10:00,Lost,180,30,2026-10-20,,,,False,timing unsuitable,,2026-09-12T09:00:00+10:00
B001,Q034,ENQ034,C0035,S02,SV02,2026-09-07T10:00:00+10:00,Open,190,30,2026-10-22,,,2026-09-22,False,,,
B001,Q035,ENQ035,C0036,S03,SV02,2026-09-09T10:00:00+10:00,Expired,200,30,2026-10-24,2026-09-14,,,False,,,2026-09-16T09:00:00+10:00
