business_id,availability_id,staff_id,work_date,shift_start,shift_end,rostered_minutes,nonbookable_minutes,bookable_minutes
B001,AV00001,S01,2026-06-22,2026-06-22T09:00:00+10:00,2026-06-22T17:00:00+10:00,480,0,480
B001,AV00002,S01,2026-06-23,2026-06-23T09:00:00+10:00,2026-06-23T17:00:00+10:00,480,0,480
B001,AV00003,S01,2026-06-24,2026-06-24T09:00:00+10:00,2026-06-24T17:00:00+10:00,480,0,480
B001,AV00004,S01,2026-06-25,2026-06-25T09:00:00+10:00,2026-06-25T17:00:00+10:00,480,0,480
B001,AV00005,S01,2026-06-26,2026-06-26T09:00:00+10:00,2026-06-26T15:00:00+10:00,360,0,360
B001,AV00006,S02,2026-06-22,2026-06-22T09:00:00+10:00,2026-06-22T17:00:00+10:00,480,0,480
B001,AV00007,S02,2026-06-23,2026-06-23T09:00:00+10:00,2026-06-23T17:00:00+10:00,480,0,480
B001,AV00008,S02,2026-06-24,2026-06-24T09:00:00+10:00,2026-06-24T17:00:00+10:00,480,0,480
B001,AV00009,S02,2026-06-25,2026-06-25T09:00:00+10:00,2026-06-25T17:00:00+10:00,480,0,480
B001,AV00010,S02,2026-06-26,2026-06-26T09:00:00+10:00,2026-06-26T15:00:00+10:00,360,0,360
B001,AV00011,S03,2026-06-22,2026-06-22T09:00:00+10:00,2026-06-22T17:00:00+10:00,480,0,480
B001,AV00012,S03,2026-06-23,2026-06-23T09:00:00+10:00,2026-06-23T17:00:00+10:00,480,0,480
B001,AV00013,S03,2026-06-24,2026-06-24T09:00:00+10:00,2026-06-24T17:00:00+10:00,480,0,480
B001,AV00014,S03,2026-06-25,2026-06-25T09:00:00+10:00,2026-06-25T17:00:00+10:00,480,0,480
B001,AV00015,S03,2026-06-26,2026-06-26T09:00:00+10:00,2026-06-26T15:00:00+10:00,360,0,360
B001,AV00016,S01,2026-06-29,2026-06-29T09:00:00+10:00,2026-06-29T17:00:00+10:00,480,0,480
B001,AV00017,S01,2026-06-30,2026-06-30T09:00:00+10:00,2026-06-30T17:00:00+10:00,480,0,480
B001,AV00018,S01,2026-07-01,2026-07-01T09:00:00+10:00,2026-07-01T17:00:00+10:00,480,0,480
B001,AV00019,S01,2026-07-02,2026-07-02T09:00:00+10:00,2026-07-02T17:00:00+10:00,480,0,480
B001,AV00020,S01,2026-07-03,2026-07-03T09:00:00+10:00,2026-07-03T15:00:00+10:00,360,0,360
