business_id,transaction_id,booking_id,customer_id,posted_at,status,transaction_type
B001,T00001,B00001,C0001,2026-06-22T11:00:00+10:00,Posted,Sale
B001,T00002,B00002,C0002,2026-06-22T13:00:00+10:00,Posted,Sale
B001,T00003,B00003,C0003,2026-06-22T15:00:00+10:00,Posted,Sale
B001,T00004,B00004,C0004,2026-06-22T17:00:00+10:00,Posted,Sale
B001,T00005,B00005,C0005,2026-06-23T11:00:00+10:00,Posted,Sale
B001,T00006,B00006,C0006,2026-06-23T13:00:00+10:00,Posted,Sale
B001,T00007,B00007,C0007,2026-06-23T15:00:00+10:00,Posted,Sale
B001,T00008,B00008,C0008,2026-06-23T17:00:00+10:00,Posted,Sale
B001,T00009,B00009,C0009,2026-06-24T11:00:00+10:00,Posted,Sale
B001,T00010,B00010,C0010,2026-06-24T13:00:00+10:00,Posted,Sale
B001,T00011,B00011,C0011,2026-06-24T14:00:00+10:00,Posted,Sale
B001,T00012,B00012,C0012,2026-06-24T15:00:00+10:00,Posted,Sale
B001,T00013,B00013,C0013,2026-06-24T16:00:00+10:00,Posted,Sale
B001,T00014,B00014,C0014,2026-06-24T17:00:00+10:00,Posted,Sale
B001,T00015,B00015,C0015,2026-06-25T10:00:00+10:00,Posted,Sale
B001,T00016,B00016,C0016,2026-06-25T11:00:00+10:00,Posted,Sale
B001,T00017,B00017,C0017,2026-06-25T12:00:00+10:00,Posted,Sale
B001,T00018,B00018,C0018,2026-06-25T13:00:00+10:00,Posted,Sale
B001,T00019,B00019,C0019,2026-06-25T14:00:00+10:00,Posted,Sale
B001,T00020,B00020,C0020,2026-06-25T15:00:00+10:00,Posted,Sale
B001,T00021,B00021,C0021,2026-06-22T11:00:00+10:00,Posted,Sale
B001,T00022,B00022,C0022,2026-06-22T13:00:00+10:00,Posted,Sale
B001,T00023,B00023,C0023,2026-06-22T15:00:00+10:00,Posted,Sale
B001,T00024,B00024,C0024,2026-06-22T17:00:00+10:00,Posted,Sale
B001,T00025,B00025,C0025,2026-06-23T11:00:00+10:00,Posted,Sale
B001,T00026,B00026,C0026,2026-06-23T13:00:00+10:00,Posted,Sale
B001,T00027,B00027,C0027,2026-06-23T15:00:00+10:00,Posted,Sale
B001,T00028,B00028,C0028,2026-06-23T17:00:00+10:00,Posted,Sale
B001,T00029,B00029,C0029,2026-06-24T11:00:00+10:00,Posted,Sale
B001,T00030,B00030,C0030,2026-06-24T13:00:00+10:00,Posted,Sale
B001,T00031,B00031,C0031,2026-06-24T14:00:00+10:00,Posted,Sale
B001,T00032,B00032,C0032,2026-06-24T15:00:00+10:00,Posted,Sale
B001,T00033,B00033,C0033,2026-06-24T16:00:00+10:00,Posted,Sale
B001,T00034,B00034,C0034,2026-06-24T17:00:00+10:00,Posted,Sale
B001,T00035,B00035,C0035,2026-06-25T10:00:00+10:00,Posted,Sale
B001,T00036,B00036,C0036,2026-06-25T11:00:00+10:00,Posted,Sale
B001,T00037,B00037,C0037,2026-06-25T12:00:00+10:00,Posted,Sale
B001,T00038,B00038,C0038,2026-06-25T13:00:00+10:00,Posted,Sale
B001,T00039,B00039,C0039,2026-06-25T14:00:00+10:00,Posted,Sale
B001,T00040,B00040,C0040,2026-06-25T15:00:00+10:00,Posted,Sale
B001,T00041,B00041,C0041,2026-06-22T11:00:00+10:00,Posted,Sale
B001,T00042,B00042,C0042,2026-06-22T13:00:00+10:00,Posted,Sale
B001,T00043,B00043,C0043,2026-06-22T15:00:00+10:00,Posted,Sale
B001,T00044,B00044,C0044,2026-06-22T17:00:00+10:00,Posted,Sale
B001,T00045,B00045,C0045,2026-06-23T11:00:00+10:00,Posted,Sale
B001,T00046,B00046,C0046,2026-06-23T13:00:00+10:00,Posted,Sale
B001,T00047,B00047,C0047,2026-06-23T15:00:00+10:00,Posted,Sale
B001,T00048,B00048,C0048,2026-06-23T17:00:00+10:00,Posted,Sale
B001,T00049,B00049,C0049,2026-06-24T11:00:00+10:00,Posted,Sale
B001,T00050,B00050,C0050,2026-06-24T13:00:00+10:00,Posted,Sale
B001,T00051,B00051,C0051,2026-06-24T15:00:00+10:00,Posted,Sale
B001,T00052,B00052,C0052,2026-06-24T17:00:00+10:00,Posted,Sale
B001,T00053,B00053,C0053,2026-06-25T10:00:00+10:00,Posted,Sale
B001,T00054,B00054,C0054,2026-06-25T11:00:00+10:00,Posted,Sale
B001,T00055,B00055,C0055,2026-06-25T12:00:00+10:00,Posted,Sale
B001,T00056,B00056,C0056,2026-06-25T13:00:00+10:00,Posted,Sale
B001,T00057,B00057,C0057,2026-06-25T14:00:00+10:00,Posted,Sale
B001,T00058,B00058,C0058,2026-06-25T15:00:00+10:00,Posted,Sale
B001,T00059,B00059,C0059,2026-06-29T11:00:00+10:00,Posted,Sale
B001,T00060,B00060,C0060,2026-06-29T13:00:00+10:00,Posted,Sale
B001,T00061,B00061,C0061,2026-06-29T15:00:00+10:00,Posted,Sale
B001,T00062,B00062,C0062,2026-06-29T17:00:00+10:00,Posted,Sale
B001,T00063,B00063,C0063,2026-06-30T11:00:00+10:00,Posted,Sale
B001,T00064,B00064,C0064,2026-06-30T13:00:00+10:00,Posted,Sale
B001,T00065,B00065,C0065,2026-06-30T15:00:00+10:00,Posted,Sale
B001,T00066,B00066,C0066,2026-06-30T17:00:00+10:00,Posted,Sale
B001,T00067,B00067,C0067,2026-07-01T11:00:00+10:00,Posted,Sale
B001,T00068,B00068,C0068,2026-07-01T13:00:00+10:00,Posted,Sale
B001,T00069,B00069,C0069,2026-07-01T14:00:00+10:00,Posted,Sale
B001,T00070,B00070,C0070,2026-07-01T15:00:00+10:00,Posted,Sale
B001,T00071,B00071,C0071,2026-07-01T16:00:00+10:00,Posted,Sale
B001,T00072,B00072,C0072,2026-07-01T17:00:00+10:00,Posted,Sale
B001,T00073,B00073,C0073,2026-07-02T10:00:00+10:00,Posted,Sale
B001,T00074,B00074,C0074,2026-07-02T11:00:00+10:00,Posted,Sale
B001,T00075,B00075,C0075,2026-07-02T12:00:00+10:00,Posted,Sale
B001,T00076,B00076,C0076,2026-07-02T13:00:00+10:00,Posted,Sale
B001,T00077,B00077,C0077,2026-07-02T14:00:00+10:00,Posted,Sale
B001,T00078,B00078,C0078,2026-07-02T15:00:00+10:00,Posted,Sale
B001,T00079,B00079,C0079,2026-06-29T11:00:00+10:00,Posted,Sale
B001,T00080,B00080,C0080,2026-06-29T13:00:00+10:00,Posted,Sale
B001,T00081,B00081,C0081,2026-06-29T15:00:00+10:00,Posted,Sale
B001,T00082,B00082,C0082,2026-06-29T17:00:00+10:00,Posted,Sale
B001,T00083,B00083,C0083,2026-06-30T11:00:00+10:00,Posted,Sale
B001,T00084,B00084,C0084,2026-06-30T13:00:00+10:00,Posted,Sale
B001,T00085,B00085,C0085,2026-06-30T15:00:00+10:00,Posted,Sale
B001,T00086,B00086,C0086,2026-06-30T17:00:00+10:00,Posted,Sale
B001,T00087,B00087,C0087,2026-07-01T11:00:00+10:00,Posted,Sale
B001,T00088,B00088,C0088,2026-07-01T13:00:00+10:00,Posted,Sale
B001,T00089,B00089,C0089,2026-07-01T14:00:00+10:00,Posted,Sale
B001,T00090,B00090,C0090,2026-07-01T15:00:00+10:00,Posted,Sale
B001,T00091,B00091,C0091,2026-07-01T16:00:00+10:00,Posted,Sale
B001,T00092,B00092,C0092,2026-07-01T17:00:00+10:00,Posted,Sale
B001,T00093,B00093,C0093,2026-07-02T10:00:00+10:00,Posted,Sale
B001,T00094,B00094,C0094,2026-07-02T11:00:00+10:00,Posted,Sale
B001,T00095,B00095,C0095,2026-07-02T12:00:00+10:00,Posted,Sale
B001,T00096,B00096,C0096,2026-07-02T13:00:00+10:00,Posted,Sale
B001,T00097,B00097,C0097,2026-07-02T14:00:00+10:00,Posted,Sale
B001,T00098,B00098,C0098,2026-07-02T15:00:00+10:00,Posted,Sale
B001,T00099,B00099,C0099,2026-06-29T11:00:00+10:00,Posted,Sale
B001,T00100,B00100,C0100,2026-06-29T13:00:00+10:00,Posted,Sale
B001,T00101,B00101,C0101,2026-06-29T15:00:00+10:00,Posted,Sale
B001,T00102,B00102,C0102,2026-06-29T17:00:00+10:00,Posted,Sale
B001,T00103,B00103,C0103,2026-06-30T11:00:00+10:00,Posted,Sale
B001,T00104,B00104,C0104,2026-06-30T13:00:00+10:00,Posted,Sale
B001,T00105,B00105,C0105,2026-06-30T15:00:00+10:00,Posted,Sale
B001,T00106,B00106,C0106,2026-06-30T17:00:00+10:00,Posted,Sale
B001,T00107,B00107,C0107,2026-07-01T11:00:00+10:00,Posted,Sale
B001,T00108,B00108,C0108,2026-07-01T13:00:00+10:00,Posted,Sale
B001,T00109,B00109,C0109,2026-07-01T15:00:00+10:00,Posted,Sale
B001,T00110,B00110,C0110,2026-07-01T17:00:00+10:00,Posted,Sale
B001,T00111,B00111,C0111,2026-07-02T10:00:00+10:00,Posted,Sale
B001,T00112,B00112,C0112,2026-07-02T11:00:00+10:00,Posted,Sale
B001,T00113,B00113,C0113,2026-07-02T12:00:00+10:00,Posted,Sale
